[Ch 01 • Recall 1] State the fundamental problem of causal inference in one sentence.	For every unit, we observe one of two potential outcomes; the other is missing. (Equivalently: we observe $Y_i(D_i)$ and never the other one.)	chapter::01 type::recall the_counterfactual_question
[Ch 01 • Recall 2] Why does randomisation solve the selection-bias problem?	Because randomisation severs the link between treatment status $D_i$ and the potential outcomes $Y_i(0), Y_i(1)$. In expectation, treated and untreated units have the same untreated potential outcome, so the bracketed selection-bias term in the decomposition collapses to zero, and the naive comparison estimates the ATE without bias. It does not equalise the two groups on every realisation; it equalises them in expectation.	chapter::01 type::recall the_counterfactual_question
[Ch 01 • Recall 3] In your paper's setting, what is the (impossible) experiment that would directly answer the central question?	Pick a country (say the UK). Hold its workers, labour market, electoral history, and demographic composition fixed. Replace *only* its welfare design with Norway's (or some other high-CWED design). Observe the slope of RTI on anti-immigration before and after the swap. The difference is the causal effect of welfare design on the RTI-to-exclusion conversion, holding everything else constant. This is impossible because welfare designs are not detachable from the institutional histories that produced them.	chapter::01 type::recall the_counterfactual_question
[Ch 01 • Recall 4] Given that experiment is impossible, what's your paper's substitute, and what does it cost you?	The substitute is a cross-sectional comparison across 15 countries that already vary in welfare design, modelling within-country slopes of RTI on anti-immigration and asking whether between-country slope variation tracks between-country welfare design variation. The cost is that the 15 countries differ in many things besides welfare design; the substitute conflates the welfare-design effect with anything else that varies cross-nationally. Macro-controls partly address this; the within-country thesis design will address it more cleanly.	chapter::01 type::recall the_counterfactual_question
"[Ch 01 • Recall 5] Suppose your paper's r=−0.85 had come out instead at r=−0.10, p=0.71. Would that have been evidence for the *symmetric* buffering account, or evidence for ""no welfare-design effect at all"", or something else? Be precise."	"It would have been evidence for ""no detectable welfare-design effect at this scale of variation, given this slope-extraction methodology"". It would *not* by itself be evidence for the symmetric account, because the symmetric account predicts a positive correlation in the *other* direction (more spending → less exclusion would show up as a different sign). r=−0.10 with high p-value would be a wash — consistent with no effect, with a small effect masked by sample noise, with measurement issues, or with the pattern being too small to detect at N=15. To distinguish ""small true effect"" from ""no true effect"" you would need either a much larger N or a much sharper measurement, neither of which observational welfare-state data offers easily. The asymmetric mechanism's empirical content lives in its predictions being *strong enough* to be seen at N=15. If they hadn't been, the theoretical claim would still be live but the empirical case would be much weaker.<br><br>If you got this right, you have understood that ""no result"" and ""result against the theory"" are different things, and that small samples do not give you the power to distinguish them cleanly. Hold onto this thought; it returns in Chapter 18 when we discuss reading nulls as evidence."	chapter::01 type::recall the_counterfactual_question
"[Ch 01 • Try-this 1] Without reading further, write down (in one sentence each) the analogue of this two-classroom story for your welfare-state paper. Specifically: what is the ""your class vs my class"" comparison, and what is the missing potential outcome you cannot observe?"	"The ""your class vs my class"" comparison is between two welfare states with different decommodification levels — say, the UK (low CWED, ≈28) and Norway (high CWED, ≈43). The observed comparison is ""British workers exposed to RTI become more anti-immigration than Norwegian workers exposed to the same RTI"". The missing potential outcome is what British high-RTI workers *would* have looked like if Britain had Norway's welfare design — same workers, same labour market shock, different welfare encounter. We can never observe that. Your whole paper is a careful attempt to construct a credible substitute by triangulating across 15 countries and exploiting variation in CWED. (If you wrote something close to this you are already ahead of where most MSc students are.)"	chapter::01 type::try_this the_counterfactual_question
"[Ch 01 • Try-this 2] Suppose I tell you that countries with higher welfare generosity tend to have populations that were already more cosmopolitan and less hostile to immigration before any welfare reforms happened. If you compare anti-immigration attitudes across welfare regimes naively, in which direction does selection bias push the apparent effect of welfare generosity? Toward ""welfare reduces hostility"" or toward ""welfare increases hostility""?"	"Toward ""welfare reduces hostility"". High-CWED countries had lower untreated $Y(0)$ (less baseline hostility) for reasons that have nothing to do with the welfare state's causal effect. The naive comparison would give you a *more* negative welfare-attitudes correlation than the true causal effect warrants. Selection bias and treatment effect run in the same direction here, and you cannot separate them from the comparison alone.<br><br>This is exactly why §V.G of your paper says ""Country-level welfare indicators are confounded with other institutional differences"". You are naming the selection-bias term explicitly."	chapter::01 type::try_this the_counterfactual_question
[Ch 01 • Try-this 3] Suppose your colleague secretly switched two of her students for two of yours, picking the strongest of hers and the weakest of yours. (a) What does this do to selection bias in the naive comparison of class averages? (b) What does it do if you re-randomise *after* the swap?	"(a) Selection bias is now non-zero in a specific direction: your class is weaker on average (you lost a strong one, gained a weak one); her class is stronger on average. The naive comparison will *underestimate* the effect of your teaching. (b) Re-randomisation eliminates the bias. The post-swap composition is now balanced in expectation again. This is why ""randomisation"" is sometimes called the ""great equaliser"" — it doesn't undo any specific imbalance, it makes the *expected* imbalance zero."	chapter::01 type::try_this the_counterfactual_question
"[Ch 01 • Try-this 4] For each of the following claims from your paper, name which of the four moves above it is implicitly relying on (or which one it would need but cannot make). (a) ""RTI predicts anti-immigration attitudes after controlling for age, gender, education, income, and urban residence."" (b) ""Welfare decommodification accounts for 72 per cent of the cross-country variation in RTI-slopes."" (c) ""The Danish 2003 activation reforms produced damage signatures with decommodification held constant."""	"(a) **Conditioning** (move 1). The covariates are functioning as the $X$ in ""treatment is as-good-as-random within $X$-cells"". Whether that's defensible depends on whether you've conditioned on enough things; the answer is ""probably not for full causal identification but enough for a defensible attitudinal-correlation finding"".<br><br>(b) **None of the above, cleanly.** This is a *between-country* descriptive statistic. You cannot make a causal claim from it without invoking move (1) — that the 15 countries are comparable conditional on observables. Your paper is honest about this in §V.G (""country-level welfare indicators are confounded with other institutional differences""). The cross-level interaction in Model 3 is a partial-conditioning version that does some but not enough work.<br><br>(c) **Differencing** (move 2). This is your thesis design speaking, not your seminar paper. You exploit *within-country* variation across reform episodes, holding the country fixed. The before-after-reform difference within each individual identifies the effect of the reform on that individual's attitudes (subject to its own assumptions, which we'll cover in Chapter 22).<br><br>If you got the third one right, you have already internalised the central architectural difference between your seminar paper and your thesis. That difference is the entire reason the thesis can claim things the seminar cannot."	chapter::01 type::try_this the_counterfactual_question
"[Ch 01 • Defence 1] A methodologically aggressive referee says: ""Your r=−0.85 is just confounding. Sweden has Sweden's welfare state and Sweden's politics; you cannot separate the two from cross-sectional data."" You have 30 seconds. What do you say?"	"""You're right that I cannot separate them with cross-sectional data alone, and §V.G says so directly. What I can show is that the cross-country pattern is consistent with the asymmetric mechanism *and* inconsistent with the symmetric buffering account that has dominated this literature. Two things sharpen that consistency: (1) the macro-controls robustness rules out the most obvious confounders (GDP growth, inequality), and (2) the asymmetric prediction extends to a *null* on the redistribution side (β=0.011, p=0.29), which the symmetric account cannot generate. The next step is the within-country Danish design that is robust to time-invariant institutional confounding by construction. The seminar paper is a consistency check on a theoretical claim; the thesis is the identification.""<br><br>The point is not to claim more than the design supports. The point is to be precise about what the design DOES support, which is ""consistency with the asymmetric mechanism on multiple independent margins, in a way the symmetric account cannot match"". That is a real intellectual contribution even when it isn't yet a clean causal estimate."	chapter::01 type::defence the_counterfactual_question
